                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6477,                 2.5731,                 1.3306,                0.95121,                0.12868,                0.30279,                0.20412,                 1.2279,                 2.7197,                 1.0131,             0.00046717,             0.00046717,             0.00046717
                      2,                 1.3394,                 1.3544,                 1.0766,                0.76265,                0.38826,                0.58282,                0.37854,                 1.1549,                 1.8171,                 1.0197,             0.00093417,             0.00093417,             0.00093417
                      3,                 1.2275,                 1.1498,                 1.0512,                0.34232,                0.45461,                0.44976,                0.29854,                 1.2343,                 1.4229,                 1.1208,              0.0013917,              0.0013917,              0.0013917
                      4,                  1.263,                 1.1428,                 1.0663,                0.53398,                0.60391,                0.61662,                 0.3887,                 1.2128,                 1.1942,                 1.0731,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.2522,                 1.0096,                 1.0429,                0.76817,                0.70618,                0.78888,                0.56917,                 1.0808,                0.97738,                 1.0214,              0.0013866,              0.0013866,              0.0013866
                      6,                 1.2126,                0.95479,                 1.0372,                0.73509,                0.64752,                0.72144,                0.51222,                  1.156,                 1.0554,                 1.0504,              0.0013724,              0.0013724,              0.0013724
                      7,                 1.2164,                0.95067,                 1.0418,                0.79482,                0.85607,                0.89226,                0.61402,                 1.0497,                0.81284,                 1.0109,              0.0013583,              0.0013583,              0.0013583
                      8,                 1.1657,                0.86768,                 1.0293,                 0.8481,                0.77817,                0.83036,                0.60763,                 1.0878,                0.81664,                 1.0092,              0.0013441,              0.0013441,              0.0013441
                      9,                 1.1724,                0.84892,                 1.0172,                0.82322,                0.66551,                0.81647,                0.56082,                 1.1015,                0.97218,                 1.0156,                0.00133,                0.00133,                0.00133
                     10,                 1.1658,                0.81224,                 1.0157,                0.79232,                0.70206,                0.82799,                0.60636,                 1.1484,                0.77988,                 1.0489,              0.0013158,              0.0013158,              0.0013158
                     11,                  1.162,                0.79202,                 1.0171,                0.91306,                0.86275,                 0.9212,                 0.6032,                 1.1741,                0.75119,                 1.0578,              0.0013017,              0.0013017,              0.0013017
                     12,                 1.1498,                0.78234,                 1.0172,                0.84101,                0.81746,                0.91296,                0.63951,                 1.0405,                0.66837,                0.99337,              0.0012875,              0.0012875,              0.0012875
                     13,                 1.1349,                 0.7677,                  1.015,                 0.6534,                0.89447,                0.90558,                0.61867,                 1.0606,                0.68081,                 1.0038,              0.0012734,              0.0012734,              0.0012734
                     14,                 1.1279,                0.74594,                0.99847,                0.78734,                  0.768,                0.85284,                0.60064,                 1.0648,                0.68812,                0.99379,              0.0012592,              0.0012592,              0.0012592
                     15,                 1.1063,                0.72727,                0.99257,                0.88991,                0.80496,                0.85329,                 0.6171,                 1.0198,                 0.6338,                0.99259,              0.0012451,              0.0012451,              0.0012451
                     16,                 1.1351,                0.73222,                 1.0112,                0.95883,                0.85265,                0.88999,                 0.6396,                 1.0214,                0.63621,                0.98889,              0.0012309,              0.0012309,              0.0012309
                     17,                 1.1215,                0.70901,                0.99929,                0.86057,                0.87854,                0.89948,                0.62699,                 1.1466,                0.62556,                 1.0327,              0.0012168,              0.0012168,              0.0012168
                     18,                 1.0839,                0.68015,                0.98239,                0.85647,                 0.8413,                  0.904,                0.61721,                 1.0107,                0.62349,                0.99471,              0.0012026,              0.0012026,              0.0012026
                     19,                 1.0935,                0.66849,                 0.9903,                0.77759,                0.85242,                0.88305,                0.61521,                 0.9905,                0.67679,                0.97922,              0.0011885,              0.0011885,              0.0011885
                     20,                 1.1079,                0.67195,                0.98953,                0.83967,                 0.8206,                0.89865,                0.67491,                 1.0356,                0.60026,                0.98931,              0.0011744,              0.0011744,              0.0011744
                     21,                 1.0973,                 0.6632,                0.98992,                0.94017,                0.83385,                0.91687,                0.64328,                 1.0297,                0.57511,                0.98701,              0.0011602,              0.0011602,              0.0011602
                     22,                 1.0711,                0.64584,                0.98056,                0.71119,                0.86007,                0.86638,                0.63084,                 1.0564,                0.60986,                 1.0066,              0.0011461,              0.0011461,              0.0011461
                     23,                 1.0953,                0.65444,                0.98896,                0.91062,                0.86415,                0.90785,                0.66011,                 1.0185,                0.60655,                0.99325,              0.0011319,              0.0011319,              0.0011319
                     24,                 1.0697,                0.63202,                0.98531,                0.77322,                0.77689,                0.86818,                0.63377,                 1.0165,                0.60965,                0.98503,              0.0011178,              0.0011178,              0.0011178
                     25,                 1.0652,                0.63686,                0.97922,                0.85302,                0.85968,                0.88851,                0.65896,                 1.0544,                0.58793,                0.99949,              0.0011036,              0.0011036,              0.0011036
                     26,                 1.0667,                0.62756,                0.97564,                0.90737,                0.83035,                0.89664,                0.64814,                 1.0151,                 0.5941,                0.97784,              0.0010895,              0.0010895,              0.0010895
                     27,                  1.046,                0.60882,                0.97979,                 0.8746,                0.76775,                0.90041,                0.67675,                0.99411,                0.55961,                0.97543,              0.0010753,              0.0010753,              0.0010753
                     28,                 1.0448,                0.61316,                 0.9659,                0.87882,                0.84466,                0.90495,                0.64104,                 1.0413,                0.56454,                0.99654,              0.0010612,              0.0010612,              0.0010612
                     29,                 1.0543,                0.61276,                0.97311,                0.92166,                0.79173,                0.94491,                0.64986,                 1.0607,                0.57929,                      1,               0.001047,               0.001047,               0.001047
                     30,                 1.0865,                0.61517,                0.98479,                0.89341,                0.96629,                0.97632,                0.67916,                 1.0139,                  0.549,                0.98415,              0.0010329,              0.0010329,              0.0010329
                     31,                 1.0405,                0.61251,                0.97493,                0.94529,                0.89645,                0.97303,                0.68593,                 1.0296,                0.54565,                0.98174,              0.0010187,              0.0010187,              0.0010187
                     32,                 1.0561,                0.60442,                0.96738,                0.94231,                 0.8076,                0.91529,                0.67024,                 1.0256,                0.56642,                0.98317,              0.0010046,              0.0010046,              0.0010046
                     33,                 1.0351,                0.58354,                0.96887,                0.90037,                 0.8733,                0.96227,                0.69698,                0.97838,                0.53176,                0.96383,             0.00099044,             0.00099044,             0.00099044
                     34,                  1.066,                0.59845,                0.97983,                0.84703,                0.88858,                0.93566,                0.68757,                0.97062,                0.54777,                0.97683,             0.00097629,             0.00097629,             0.00097629
                     35,                 1.0334,                0.58515,                0.97028,                0.83125,                0.87556,                0.91088,                0.63194,                 1.0435,                0.56199,                0.99183,             0.00096215,             0.00096215,             0.00096215
                     36,                 1.0379,                0.58131,                0.95917,                0.91877,                 0.9078,                0.93068,                0.68554,                0.95773,                0.51912,                0.96522,               0.000948,               0.000948,               0.000948
                     37,                 1.0139,                0.57976,                0.95903,                0.95499,                0.88512,                 0.9381,                0.70356,                 1.0223,                 0.5453,                0.98365,             0.00093385,             0.00093385,             0.00093385
                     38,                 1.0215,                0.57689,                0.96042,                0.88174,                 0.8755,                0.95838,                0.66725,                 1.0373,                0.52504,                0.98822,              0.0009197,              0.0009197,              0.0009197
                     39,                 1.0207,                0.56623,                0.96248,                0.85835,                0.91143,                0.94648,                 0.6613,                 1.0195,                 0.5593,                0.97799,             0.00090556,             0.00090556,             0.00090556
                     40,                 1.0105,                0.57119,                0.96719,                0.93785,                0.95297,                 0.9717,                 0.6909,                 1.0195,                0.54585,                0.98005,             0.00089141,             0.00089141,             0.00089141
                     41,                 1.0146,                0.56098,                 0.9542,                0.87229,                0.94324,                 0.9705,                0.67714,                 1.0017,                0.54963,                0.98033,             0.00087726,             0.00087726,             0.00087726
                     42,                 1.0087,                0.56247,                0.95809,                0.94179,                0.96601,                0.98025,                0.72959,                0.98477,                0.50123,                0.97394,             0.00086312,             0.00086312,             0.00086312
                     43,                0.99708,                0.55193,                0.95575,                0.96122,                0.96092,                0.98105,                 0.7115,                 1.0137,                0.50284,                0.97974,             0.00084897,             0.00084897,             0.00084897
                     44,                 1.0021,                 0.5444,                0.95049,                0.83526,                 0.9133,                0.93924,                0.69067,                0.99915,                0.50245,                0.97438,             0.00083482,             0.00083482,             0.00083482
                     45,                0.99148,                0.54663,                 0.9508,                0.95511,                0.82196,                0.94892,                 0.6776,                 1.0118,                0.49173,                0.97263,             0.00082067,             0.00082067,             0.00082067
                     46,                 0.9718,                0.53102,                0.94493,                0.87962,                0.95273,                0.96509,                0.67402,                 0.9998,                0.51761,                0.98403,             0.00080653,             0.00080653,             0.00080653
                     47,                0.97716,                0.53839,                0.94966,                0.95599,                0.88896,                0.96819,                 0.7022,                0.98131,                0.49673,                0.98006,             0.00079238,             0.00079238,             0.00079238
                     48,                 1.0102,                0.55259,                0.95184,                0.92383,                0.82128,                0.95438,                0.69944,                 1.0264,                0.55281,                0.98603,             0.00077823,             0.00077823,             0.00077823
                     49,                0.98539,                0.53327,                0.95354,                0.82999,                0.97753,                0.96838,                0.70648,                 1.0162,                0.51968,                0.98381,             0.00076409,             0.00076409,             0.00076409
                     50,                0.97366,                 0.5298,                0.94911,                0.92581,                0.87044,                0.95231,                0.70591,                0.99906,                0.50891,                0.97665,             0.00074994,             0.00074994,             0.00074994
                     51,                0.99108,                0.52846,                0.94655,                0.94022,                0.85331,                0.95258,                0.67551,                0.97838,                0.50232,                0.96139,             0.00073579,             0.00073579,             0.00073579
                     52,                0.97788,                0.52102,                 0.9467,                0.93037,                 0.8686,                 0.9487,                0.67319,                 1.0465,                0.52709,                0.98188,             0.00072164,             0.00072164,             0.00072164
                     53,                0.95414,                0.51833,                0.94467,                0.93938,                0.94638,                0.98431,                0.70939,                 0.9965,                0.50697,                0.98297,              0.0007075,              0.0007075,              0.0007075
                     54,                0.97709,                0.52145,                0.94511,                0.97607,                0.84883,                0.96824,                0.69755,                0.99877,                0.48319,                0.97942,             0.00069335,             0.00069335,             0.00069335
                     55,                0.96226,                0.51316,                0.93691,                0.94777,                 0.9081,                0.97772,                0.69903,                0.99992,                0.49942,                0.96991,              0.0006792,              0.0006792,              0.0006792
                     56,                 0.9585,                0.50845,                0.93122,                0.96055,                 0.9059,                0.98316,                0.72086,                 1.0032,                 0.4875,                0.96634,             0.00066506,             0.00066506,             0.00066506
                     57,                0.94116,                0.50566,                0.93349,                0.94249,                0.82673,                0.95664,                 0.6985,                0.96521,                0.47587,                0.95468,             0.00065091,             0.00065091,             0.00065091
                     58,                0.93802,                0.50146,                0.92873,                0.79768,                0.92019,                0.94043,                0.64586,                 1.0304,                0.52478,                0.98148,             0.00063676,             0.00063676,             0.00063676
                     59,                0.94902,                0.50604,                0.94086,                0.90851,                0.91603,                0.95852,                0.67932,                 1.0006,                0.49862,                0.97984,             0.00062262,             0.00062262,             0.00062262
                     60,                0.95546,                0.49558,                 0.9339,                0.91163,                 0.8387,                0.91548,                0.68322,                0.97971,                 0.5059,                0.96555,             0.00060847,             0.00060847,             0.00060847
